;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
DELITOS O FALTAS;;;;;;;;;;;;;;;;;;;;
Homicidios y femicidios;587;601;606;576;622;505;567;500;510;565;550;519;622;656;701;912;724;971;1.003;1.019
Robos con violencia o intimidación;54.362;56.373;65.812;61.802;61.379;53.005;61.216;53.937;57.817;65.446;67.118;65.530;69.174;73.538;78.615;66.032;47.661;78.376;81.893;80.040
Robo por sorpresa;19.973;21.744;27.491;27.599;30.233;28.390;30.547;27.568;35.069;40.708;39.190;36.402;34.757;34.194;32.433;20.597;17.798;28.906;34.522;40.481
Consumo de alcohol y drogas en la vía pública;119.551;135.852;136.137;185.101;205.312;242.555;260.488;262.266;246.377;229.661;204.615;202.610;222.429;241.444;206.883;91.297;97.730;107.629;107.007;107.056
Desórdenes públicos;22.935;16.261;17.218;18.091;20.411;21.655;22.385;19.302;17.088;13.906;13.157;13.446;13.908;15.784;23.248;8.612;3.034;2.385;2.105;1.669
